dataset,location,model_type,model_label,seed,split_seed,rain_forcing,prediction_mode,lead_minutes,threshold_m,csi,pod,far,f1,false_positive_rate,persistence_csi,persistence_pod,persistence_far,persistence_f1,persistence_false_positive_rate
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,77,44,past_only,residual,30,0.2,0.6646511343109941,0.6950821246758236,0.061799088139328856,0.7985470596349258,0.0032740568770076492,0.5045513654096229,0.5093330771939936,0.0182670945445569,0.6707000864304236,0.000677706878037947
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,77,44,past_only,residual,30,0.3,0.633408789988468,0.6613597342074163,0.0625493852523784,0.7755667703893523,0.002220718552257581,0.44571619068785423,0.4471871028162419,0.007325644706231748,0.6166026133743274,0.00016607698116933905
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,77,44,past_only,residual,60,0.05,0.6182309883197729,0.8703804081632653,0.3190773003627446,0.7640824984592453,0.07977391026664538,0.595591200322595,0.60768,0.032321467569338284,0.7465461080534651,0.003969982436532013
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,77,44,past_only,residual,60,0.1,0.6293080732668049,0.7930623435451186,0.24705140538224618,0.7724850611033013,0.03733534989750218,0.4862776423106029,0.49242204928222333,0.025018122966434582,0.6543563981149901,0.0018129530855630783
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,77,44,past_only,residual,60,0.2,0.5659197331565781,0.6097870036516951,0.11278157683024939,0.7227953274664956,0.007924012383550933,0.3608003835266186,0.36412123166952737,0.0246544063194273,0.5302767222795407,0.0009408955111394257
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,77,44,past_only,residual,60,0.3,0.5163954232108592,0.5336202338287998,0.05883114864514792,0.6810828037418218,0.0026166126675853424,0.29212463594186777,0.2931672639680395,0.012027916646042667,0.4521616999105191,0.00027998101198733517
larno_ukea,ukea,convlstm,Conv-LSTM,2026,44,past_only,residual,5,0.05,0.9294660577682717,0.937997083130773,0.009690300460905181,0.9634438025236309,0.0011330492708395846,0.9234984825346504,0.9289936801166747,0.006364458865004836,0.9602279293901281,0.0007345616035527816
larno_ukea,ukea,convlstm,Conv-LSTM,2026,44,past_only,residual,5,0.1,0.914199744696371,0.9211852078707603,0.008226585554841155,0.9551769581302297,0.0005731053928183808,0.9001021543903518,0.9039889748105046,0.0047541177065596706,0.9474250132400379,0.0003238791999494657
larno_ukea,ukea,convlstm,Conv-LSTM,2026,44,past_only,residual,5,0.2,0.8973428662896169,0.9043150961150692,0.008518791451731761,0.9458942632170979,0.00032153804217822555,0.8660321715817695,0.8684769458260518,0.003239940755369045,0.9282071175093027,0.00011682178003015115
larno_ukea,ukea,convlstm,Conv-LSTM,2026,44,past_only,residual,5,0.3,0.8841657371834594,0.8964231864633943,0.015229594184227478,0.9385222538916904,0.00036288925628532963,0.8437696072280085,0.8448651365387837,0.0015344255803593527,0.9152657728169877,3.3986607084124524e-05
